Document,Label
"Ex-BHS owner Dominic Chappell is branded ""a liar"" who threatened ""to kill"" the retailer's chief executive, by managers appearing before MPs.",Politics
The commissioner who investigates complaints against MLAs believes the public is losing confidence in the system as the number of complaints falls.,Politics
A tour of the Northern Ireland Assembly at Stormont.,Politics
"Leaving the EU would cause a ""profound economic shock"" to the Scottish economy, the UK Chancellor claims, but opponents accuse him of scaremongering.",Politics
BBC Democracy Live takes you on a tour of the Scottish Parliament.,Politics
"The leader of UKIP Wales says his party should not give the first minister ""false hope"" over plans for an M4 relief road.",Politics
A guide to the National Assembly for Wales.,Politics
Who are the Budget winners and losers in the East Midlands?,Politics
"A pre-election Budget, but will the catapult energise the Midlands?",Politics
Political analysis from around England,Politics
Links to political parties and other useful websites covering UK politics.,Politics
Here's a full list of who is doing what job in David Cameron's new cabinet,Politics
The details of Labour leader Ed Miliband's shadow cabinet following the recent reshuffle.,Politics
Links to other Parliamentary broadcasters,Politics
The chairman of construction firm JCB has written to his UK workforce to explain why he's in favour of leaving the EU.,Politics
"Two former prime ministers, Sir John Major and Tony Blair, have joined forces to warn of the dangers of leaving the EU.",Politics
People have until 23:59 BST on Thursday 9 to register to be able to vote in the UK's EU referendum.,Politics
Immigration and economic prospects have featured prominently in the latest exchanges in a live debate ahead of the referendum on Britain's membership of the EU.,Politics
The BBC is hearing from a range of voters about the EU referendum issues that will help them decide how to vote on 23 June.,Politics
The Archbishop of Canterbury has condemned comments by UKIP leader Nigel Farage about the possibility of sex attacks by migrants.,Politics
How is the government doing on its manifesto commitments?,Politics
Will there be a general election before Christmas?,Politics
Batter in or out of the EU?,Politics
Putin might cheer UK leaving the EU club,Politics
Did 1975 EU predictions come true?,Politics
What a Brexit vote could mean for sterling,Politics
Anger rises on the streets in EU debate,Politics
BBC Sport - Sport,Sports
Ferrari's Carlos Sainz will start the French Grand Prix from the back of the grid as a result of penalties for excessive engine usage.,Sports
"Watch as Great Britain's Matthew Hudson-Smith wins bronze in the men's 400m final with USA's Michael Norman taking gold and Grenada's Kirani James winning silver at the World Athletics Championships in Oregon, USA.",Sports
The independent investigation followed claims of racism and discrimination in the Scottish game.,Sports
American Sydney McLaughlin breaks her own world record by almost three-quarters of a second to take 400m hurdles gold in Eugene,Sports
Watch as Sydney McLaughlin wins gold and smashes the world record in 400m hurdles final in an unbelievable 50.68 seconds.,Sports
Olympic gold medallist Galal Yafai meets with Team England boxers ahead of the Commonwealth Games.,Sports
Jos Butler makes a stunning diving run-out to dismiss Aiden Makram in the second one-day international against South Africa.,Sports
Watch highlights as Sweden claim their place against England in the semi-finals of Euro 2022 after scoring an injury-time winner to beat Belgium 1-0 at Leigh Sports Village.,Sports
Watch as GB's Keely Hodgkinson claims her place in the 800m final after finishing first place in her semi-final with a time of 1 minute and 58.51 seconds.,Sports
Liam Livingstone hits Anrich Nortje for three consecutive sixes in a single over in the second one-day international against South Africa.,Sports
"Watch as double Olympic champion Shaunae Miller-Uibo wins her first world title after taking gold in the 400m with a season's best of 49.11 seconds at the World Athletics Championships in Oregon, USA.",Sports
"Watch as Asha Philip, Imani Lansiquot, Ashleigh Nelson and Daryll Neita of Great Britain finish first in heat one of the women's 4x100 metres relay to take them through to the final at the World Athletics Championships in Oregon, USA.",Sports
"Watch as Great Britain's Adam Gemili, Zharnel Hughes, Nethaneel Mitchell-Blake and Reece Prescod finish second in their heat to qualify for the 4x100m relay final at the World Athletics Championships in Oregon.",Sports
Watch as GB's Dina Asher-Smith wins bronze in the women's 200m final with Jamaica's Shericka Jackson winning gold with an impressive time of 21.45 and Shelly-Ann Fraser-Pryce finishing in second place.,Sports
The latest stories from the Science & Environment section of the BBC News web site.,Science
"Researchers discover fossils that suggest the famous Hobbit species shrank on the Indonesian island of Flores within the space of 300,000 years.",Science
"Nihonium, moscovium, tennessine, and oganesson are the names proposed for the four new chemical elements added to the periodic table in January.",Science
"The government is failing to do enough to protect communities at risk of flooding and needs to do more long-term planning, MPs say.",Science
"Italy's tomatoes and Thailand's potent chillies, although closely associated with these nations, have their historical roots elsewhere, a study reveals.",Science
Up to 85% of the corals in the Chagos Marine Reserve of the British Indian Ocean Territory are estimated to have been damaged or killed in the current global bleaching event.,Science
"Mammals began to flourish well before the end of the dinosaur age, a new study finds.",Science
"The Lisa Pathfinder mission, which was designed to demonstrate the technologies needed to detect gravitational waves in space, has been a stunning success, say officials.",Science
"Australian scientists have used genetic material to pinpoint the origin of the deep-sea mushroom, an unusual gelatinous creature first dredged up near Tasmania in 1986.",Science
"The Universe may be expanding up to 9% faster than previously thought, according to new measurements from the Hubble Space Telescope.",Science
"David Cameron and Boris Johnson clash over the impact of the EU on the UK's fishing industry, during an interview with the BBC's Countryfile programme.",Science
"The hunt for a cancer cure should be treated with as much urgency as the Ebola outbreak, says US Vice-President Joe Biden.",Science
"A flat lens made of paint whitener on a sliver of glass could revolutionise optics, its US inventors say.",Science
US scientists try to grow human organs inside pigs to solve the transplant shortage by injecting human stem cells into pig embryos.,Science
"Young fish become hooked on eating plastic in the seas in the same way that teenagers prefer unhealthy fast food, researchers say.",Science
"The world's longest and deepest rail tunnel is officially opened in Switzerland, after almost two decades of construction work.",Science
"Ancient underwater remains thought to be a ""long lost city"" are in fact the result of a naturally occurring phenomenon, researchers find.",Science
A kayaker has filmed a close encounter with a 23ft (7m) basking shark off the south coast of the Isle of Man.,Science
"Using DNA from three people to create a baby is safe, according to a major research study, by scientists at the Wellcome Trust Centre at Newcastle University.",Science
"British astronaut Tim Peake has been on the International Space Station for nearly six months, where the climate is unsurprisingly constant.",Science
"Six months after Tim Peake blasted off to the International Space Station, he is preparing for his return to Earth.",Science
Footage of Bryde's whales feeding has been caught on camera.,Science
Scientists in the United States are trying to grow human organs inside pigs.,Science
The scientific mystery behind one of British science's most famous insects has finally been solved.,Science
"While Tim Peake has been in space he has handed out Brit Awards, run the London Marathon, and even done a spacewalk.",Science
The colossal landslide that shaped an American canyon,Science
"The world's longest, deepest rail tunnel just opened",Science
